player,in_degree,out_degree,total_degree,in_degree_centrality,out_degree_centrality,betweenness,closeness,pagerank,eigenvector,clustering
Frenkie de Jong,14,14,28,0.9333333333333333,0.9333333333333333,0.11587301587301588,0.375,0.10891395741387519,0.36210349659103325,0.17809330874642731
Sergi Roberto Carnicer,13,13,26,0.8666666666666667,0.8666666666666667,0.0953968253968254,0.3125,0.10709137318456216,0.39523311516391874,0.17032129891010708
Lionel Andrés Messi Cuccittini,13,12,25,0.8666666666666667,0.8,0.07023809523809524,0.3191489361702128,0.09637487404069672,0.3466223963511103,0.1957806048069754
Miralem Pjanić,11,11,22,0.7333333333333333,0.7333333333333333,0.004761904761904762,0.23076923076923078,0.09215669145776409,0.3597497277953849,0.2423084864009965
Gerard Piqué Bernabéu,13,13,26,0.8666666666666667,0.8666666666666667,0.06674603174603176,0.3409090909090909,0.08628892966224419,0.35387064602635954,0.16754087217622504
Anssumane Fati,10,10,20,0.6666666666666666,0.6666666666666666,0.08888888888888889,0.22388059701492538,0.0695101691505306,0.23030911871390433,0.18375587242239885
Pedro González López,10,10,20,0.6666666666666666,0.6666666666666666,0.0033333333333333335,0.3,0.06396096255252748,0.2051166130487858,0.1843330653638355
Antoine Griezmann,13,12,25,0.8666666666666667,0.8,0.26761904761904765,0.36585365853658536,0.05899697022098121,0.1851549791231671,0.14068206729799695
Francisco António Machado Mota de Castro Trincão,8,7,15,0.5333333333333333,0.4666666666666667,0.15555555555555559,0.35714285714285715,0.05498744818007948,0.2548122846490669,0.1805257158134223
Sergio Busquets i Burgos,9,9,18,0.6,0.6,0.015793650793650797,0.2459016393442623,0.053707859490348224,0.17969869047557754,0.23857121061294181
Jordi Alba Ramos,9,12,21,0.6,0.8,0.1027777777777778,0.3191489361702128,0.05256804613947333,0.17110502824500307,0.14665129793983228
Clément Lenglet,7,9,16,0.4666666666666667,0.6,0.08738095238095239,0.3125,0.05043519564879425,0.20271551600932042,0.20425830813054827
Ousmane Dembélé,7,6,13,0.4666666666666667,0.4,0.03333333333333334,0.3125,0.039340423343572184,0.16753962779066126,0.17953303292591924
Sergino Dest,8,7,15,0.5333333333333333,0.4666666666666667,0.20015873015873017,0.40540540540540543,0.0321339752919171,0.08226911045310911,0.12389438960272667
Norberto Murara Neto,5,6,11,0.3333333333333333,0.4,0.07817460317460317,0.3333333333333333,0.022375222451856656,0.07697985909702104,0.1652542476482886
Martin Braithwaite Christensen,2,1,3,0.13333333333333333,0.06666666666666667,0.009523809523809525,0.3333333333333333,0.011157901770777155,0.011309801006172578,0.0865295520396257
