team,season,xg_mean,xg_std,xg_against_mean,xg_against_std,xg_diff_mean,goals_mean,goals_against_mean,goals_diff_mean,win_rate,draw_rate,loss_rate,total_matches,home_win_rate,away_win_rate,recent_xg_mean,recent_xg_against_mean,recent_goals_mean,recent_win_rate,recent_draw_rate,recent_loss_rate,recent_points
Barcelona,2018,2.1915666842105264,1.2538360944133333,1.1823934210526317,0.7360009260015706,1.0091732631578951,2.3684210526315788,0.9473684210526315,1.4210526315789473,0.6842105263157895,0.23684210526315788,0.07894736842105263,38,0.7894736842105263,0.5789473684210527,1.7774714,1.1926876,1.4,0.6,0.2,0.2,10
Real Madrid,2018,1.8067045526315788,0.9804171479502499,1.2809408684210528,0.8784252851480705,0.5257636842105264,1.6578947368421053,1.2105263157894737,0.4473684210526316,0.5526315789473685,0.13157894736842105,0.3157894736842105,38,0.6842105263157895,0.42105263157894735,1.3756404,1.4022812,0.8,0.2,0.2,0.6,4
Atletico Madrid,2018,1.365061157894737,0.6966823828219821,1.0903699736842107,0.6195812150338623,0.27469118421052635,1.4473684210526316,0.7631578947368421,0.6842105263157895,0.5789473684210527,0.2631578947368421,0.15789473684210525,38,0.7894736842105263,0.3684210526315789,1.2586546,1.5542674,1.4,0.4,0.4,0.2,8
Sevilla,2018,1.8200606842105262,1.0784906306713804,1.229229789473684,0.6430375460895946,0.5908308947368419,1.631578947368421,1.236842105263158,0.39473684210526316,0.4473684210526316,0.21052631578947367,0.34210526315789475,38,0.631578947368421,0.2631578947368421,1.4804128,1.0287438,1.6,0.4,0.2,0.4,7
Valencia,2018,1.628551289473684,0.9213299356885898,1.1277465,0.6722567252219159,0.5008047894736842,1.3421052631578947,0.9210526315789473,0.42105263157894735,0.39473684210526316,0.42105263157894735,0.18421052631578946,38,0.3684210526315789,0.42105263157894735,1.6841377999999998,1.4208378,2.6,0.6,0.0,0.4,9
Villarreal,2018,1.4420984210526313,0.683289103948376,1.4767933684210526,0.8897902202005006,-0.034694947368421054,1.2894736842105263,1.368421052631579,-0.07894736842105263,0.2631578947368421,0.3684210526315789,0.3684210526315789,38,0.2631578947368421,0.2631578947368421,0.9897750000000001,1.5797382,1.4,0.4,0.4,0.2,8
Athletic Club,2018,1.1695085263157894,0.5838012305877023,1.2410215263157895,0.6765602103138978,-0.07151299999999995,1.0789473684210527,1.1842105263157894,-0.10526315789473684,0.34210526315789475,0.3684210526315789,0.2894736842105263,38,0.47368421052631576,0.21052631578947367,1.1117968,1.1147428,1.0,0.4,0.2,0.4,7
Real Sociedad,2018,1.2628184473684212,0.7604139438681887,1.2656431578947367,0.675391594423022,-0.002824710526315768,1.1842105263157894,1.2105263157894737,-0.02631578947368421,0.34210526315789475,0.2894736842105263,0.3684210526315789,38,0.3684210526315789,0.3157894736842105,1.3271356,0.8361116,1.2,0.6,0.0,0.4,9
Real Betis,2018,1.3599322368421054,0.7318921511044094,1.409071894736842,0.9377578740258897,-0.0491396578947369,1.1578947368421053,1.368421052631579,-0.21052631578947367,0.3684210526315789,0.21052631578947367,0.42105263157894735,38,0.42105263157894735,0.3157894736842105,1.7154118,1.3276054,1.0,0.4,0.2,0.4,7
Getafe,2018,1.2377415263157898,0.7229861780590402,1.1638431842105266,0.642258240270656,0.07389834210526312,1.263157894736842,0.9210526315789473,0.34210526315789475,0.39473684210526316,0.3684210526315789,0.23684210526315788,38,0.5789473684210527,0.21052631578947367,1.4168166,1.516097,1.0,0.2,0.4,0.4,5
Celta Vigo,2018,1.2815750526315792,0.8202207643618732,1.669197368421053,0.7947176533894498,-0.3876223157894737,1.394736842105263,1.631578947368421,-0.23684210526315788,0.2631578947368421,0.2894736842105263,0.4473684210526316,38,0.42105263157894735,0.10526315789473684,1.5669044,1.1978628,1.2,0.2,0.6,0.2,6
Osasuna,2018,1.309446896551724,0.7424097171101656,1.3928665517241379,0.746708952384614,-0.08341965517241381,1.1724137931034482,1.206896551724138,-0.034482758620689655,0.3448275862068966,0.2413793103448276,0.41379310344827586,29,0.5714285714285714,0.13333333333333333,1.7078735999999999,1.5023769999999999,1.2,0.4,0.2,0.4,7
Barcelona,2019,1.8949855,1.0382876795375384,0.9953670789473685,0.6579481697366886,0.8996184210526317,2.263157894736842,1.0,1.263157894736842,0.6578947368421053,0.18421052631578946,0.15789473684210525,38,0.8421052631578947,0.47368421052631576,1.8898970000000002,0.7178718000000001,2.4,0.8,0.0,0.2,12
Real Madrid,2019,1.8988741578947372,0.9677342844355161,0.8722701578947367,0.5713229542640024,1.0266039999999996,1.8421052631578947,0.6578947368421053,1.1842105263157894,0.6842105263157895,0.23684210526315788,0.07894736842105263,38,0.7894736842105263,0.5789473684210527,1.7093485999999998,0.9563572,1.8,0.8,0.2,0.0,13
Atletico Madrid,2019,1.5447621842105261,0.6325216687258832,0.8293471578947368,0.4582817203987631,0.7154150263157896,1.3421052631578947,0.7105263157894737,0.631578947368421,0.47368421052631576,0.42105263157894735,0.10526315789473684,38,0.631578947368421,0.3157894736842105,1.550322,0.7042279999999999,1.6,0.6,0.4,0.0,11
Sevilla,2019,1.4514606842105264,0.6631093940276638,0.9636131842105262,0.5943673265928463,0.48784750000000004,1.4210526315789473,0.8947368421052632,0.5263157894736842,0.5,0.34210526315789475,0.15789473684210525,38,0.5263157894736842,0.47368421052631576,1.271304,0.8460281999999999,1.2,0.8,0.2,0.0,13
Valencia,2019,1.1993751315789472,0.6639722175218027,1.5545695263157895,0.7637507311488954,-0.35519439473684206,1.2105263157894737,1.394736842105263,-0.18421052631578946,0.3684210526315789,0.2894736842105263,0.34210526315789475,38,0.5789473684210527,0.15789473684210525,0.964321,1.2553387999999999,1.0,0.4,0.2,0.4,7
Villarreal,2019,1.7264868684210526,0.7645235071659383,1.2786806578947367,0.7158445876646493,0.44780621052631575,1.6578947368421053,1.2894736842105263,0.3684210526315789,0.47368421052631576,0.15789473684210525,0.3684210526315789,38,0.47368421052631576,0.47368421052631576,1.4861954000000002,1.408113,2.0,0.4,0.0,0.6,6
Athletic Club,2019,1.1077788157894737,0.7836391715541319,1.3794552105263158,0.7659627576890428,-0.27167639473684213,1.0789473684210527,1.0,0.07894736842105263,0.34210526315789475,0.3157894736842105,0.34210526315789475,38,0.47368421052631576,0.21052631578947367,0.8040403999999999,1.9973880000000002,0.6,0.2,0.0,0.8,3
Real Sociedad,2019,1.3398860789473683,0.833723121025342,1.102239605263158,0.6899008544513711,0.23764647368421057,1.4736842105263157,1.263157894736842,0.21052631578947367,0.42105263157894735,0.21052631578947367,0.3684210526315789,38,0.47368421052631576,0.3684210526315789,0.9342776,0.7961929999999999,1.2,0.2,0.6,0.2,6
Real Betis,2019,1.2868033684210527,0.7451894791321279,1.4816767368421055,0.7621327044557332,-0.19487336842105268,1.263157894736842,1.5789473684210527,-0.3157894736842105,0.2631578947368421,0.2894736842105263,0.4473684210526316,38,0.47368421052631576,0.05263157894736842,1.256726,0.9276688,1.0,0.2,0.2,0.6,4
Getafe,2019,1.189243,0.728507110997812,1.1321943,0.8297212373070807,0.057048700000000035,1.131578947368421,0.9736842105263158,0.15789473684210525,0.3684210526315789,0.3157894736842105,0.3157894736842105,38,0.42105263157894735,0.3157894736842105,0.8679624,1.4146193999999999,0.2,0.0,0.4,0.6,2
Celta Vigo,2019,1.0642416578947367,0.707725485497494,1.1797292368421048,0.7188620129987897,-0.1154875789473684,0.9736842105263158,1.2894736842105263,-0.3157894736842105,0.18421052631578946,0.42105263157894735,0.39473684210526316,38,0.2631578947368421,0.10526315789473684,0.7198684,0.9489028000000002,1.0,0.0,0.6,0.4,3
Osasuna,2019,1.2904865263157894,0.9096518080541004,1.304748710526316,0.7327749584103884,-0.014262184210526347,1.2105263157894737,1.4210526315789473,-0.21052631578947367,0.34210526315789475,0.34210526315789475,0.3157894736842105,38,0.3684210526315789,0.3157894736842105,0.802716,1.0299821999999998,1.2,0.4,0.4,0.2,8
Barcelona,2020,2.2094361842105266,1.0292513654916493,1.0771440526315788,0.6977239314818072,1.1322921315789476,2.236842105263158,1.0,1.236842105263158,0.631578947368421,0.18421052631578946,0.18421052631578946,38,0.5789473684210527,0.6842105263157895,2.0624992,1.0915232,1.6,0.4,0.4,0.2,8
Real Madrid,2020,1.7123893947368425,0.8658816746347617,1.0184370578947366,0.6130965971917945,0.6939523368421052,1.763157894736842,0.7368421052631579,1.0263157894736843,0.6578947368421053,0.23684210526315788,0.10526315789473684,38,0.6842105263157895,0.631578947368421,1.2075576,0.83199424,2.2,0.8,0.2,0.0,13
Atletico Madrid,2020,1.5174722105263159,0.7905622949369016,0.9386576052631578,0.5505320975971136,0.5788146052631579,1.763157894736842,0.6578947368421053,1.105263157894737,0.6842105263157895,0.21052631578947367,0.10526315789473684,38,0.7894736842105263,0.5789473684210527,1.551633,1.087358,1.4,0.8,0.2,0.0,13
Sevilla,2020,1.4700513157894732,0.7901773115418242,0.9035341578947368,0.5434753621091301,0.5665171578947368,1.394736842105263,0.868421052631579,0.5263157894736842,0.631578947368421,0.13157894736842105,0.23684210526315788,38,0.7368421052631579,0.5263157894736842,1.1216019999999998,0.8839894000000001,0.8,0.4,0.2,0.4,7
Valencia,2020,1.1023488263157895,0.7108069342011615,1.4654650789473684,0.9049340987808697,-0.363116252631579,1.3157894736842106,1.394736842105263,-0.07894736842105263,0.2631578947368421,0.34210526315789475,0.39473684210526316,38,0.42105263157894735,0.10526315789473684,0.9551948000000001,1.8525792000000003,1.8,0.4,0.2,0.4,7
