50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,pass_success,pass_distance,half
,,,,,,,,,,,,,,,,,0.963571,,,,,,,,,,,,,208f072d-cffa-4575-bd73-e9e9384c8fe1,5,,"[61.0, 40.1]",3773386,0,,,,,2.692596,,Left Foot,,,,"[50.0, 45.4]",Ground Pass,,12.210241,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['1b0529a5-c699-44e4-b534-80a48503d3a8'],0,,,,,,,,,,,,,,,,,,Barcelona,217,0,Pass,,1,12.210241602851271,1H
,,,,,,,,,,,,,,,,,0.998827,,,,,,,,,,,,,e1f11e14-fb24-4c82-868f-507385122b9c,7,,"[49.4, 44.9]",3773386,0,,,,,-1.7200059,,Right Foot,,,,"[47.1, 29.6]",Ground Pass,,15.47191,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['b9c89821-9722-4c12-ada7-e1d09cc10a89'],1,,,,,,,,,,,,,,,,,,Barcelona,217,1,Pass,,1,15.471910030762198,1H
,,,,,,,,,,,,,,,,,1.263872,,,,,,,,,,,,,4d801bc4-907a-4474-9620-7c6ca2610ea7,10,,"[48.1, 29.6]",3773386,0,,,,,2.1112158,,Right Foot,,,,"[35.5, 50.6]",Ground Pass,,24.489998,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,['c4d7296a-bcea-4f7d-bcc9-c1bf5dae6fe7'],5,,,,,,,,,,,,,,,,,,Barcelona,217,5,Pass,,1,24.489997958350262,1H
,,,,,,,,,,,,,,,,,1.331522,,,,,,,,,,,,,72a0c004-6d76-4ea8-b892-0f7881be9320,13,,"[44.3, 50.2]",3773386,0,,,,,-1.7304027,,Right Foot,,,,"[41.0, 29.7]",Ground Pass,,20.76391,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['3d285d86-2ff7-45c9-8447-825fcbe5b5bc'],10,,,,,,,,,,,,,,,,,,Barcelona,217,10,Pass,,1,20.76391099961662,1H
,,,,,,,,,,,,,,,,,1.004666,,,,,,,,,,,,,ba9d104d-bddd-44bd-b156-991e7f5f0344,16,,"[49.0, 28.7]",3773386,0,,,,,0.49934673,,Left Foot,,,,"[57.8, 33.5]",Ground Pass,,10.023972,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['ff18cfb6-31ba-4e71-bc9f-5fe07a9d2ceb'],14,,,,,,,,,,,,,,,,,,Barcelona,217,14,Pass,,1,10.023971268913332,1H
,,,,,,,,,,,,,,,,,1.793544,,,,,,,,,,,,,977772d7-a60d-4f97-a56d-4a4f634941e6,18,,"[57.1, 33.1]",3773386,0,,,,,2.2428365,,Right Foot,,,,"[42.7, 51.2]",Ground Pass,,23.12942,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['bf97e630-9577-4a75-98b4-a058bfebd5b8'],15,,,,,,,,,,,,,,,,,,Barcelona,217,15,Pass,,1,23.129418496797538,1H
,,,,,,,,,,,,,,,,,1.639114,,,,,,,,,,,,,63231afc-ab0c-4535-9949-e19c03ab1bca,21,,"[49.1, 52.5]",3773386,0,,,,,-1.8519402,,Right Foot,,,,"[42.4, 29.3]",Ground Pass,,24.148085,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['8c33086d-f664-46c3-a9c4-ae312233424b'],20,,,,,,,,,,,,,,,,,,Barcelona,217,20,Pass,,1,24.148084810187328,1H
,,,,,,,,,,,,,,,,,1.296817,,,,,,,,,,,,,959940e9-386f-4528-ae28-8038452e4d69,25,,"[41.3, 29.2]",3773386,0,,,,,-1.5408652,,Left Foot,,,,"[41.8, 12.5]",Ground Pass,,16.707483,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['5aad9a22-ba37-4857-878b-7dc82a28226c', '7b9e7233-0d7d-4b6b-896a-fb8741e455d4']",23,,,,,,,,,,,,,,,,,,Barcelona,217,23,Pass,True,1,16.70748335327616,1H
,,,,,,,,,,,,,,,,,1.717365,,,,,,,,,,,,,6f723931-3dd4-4e1c-a2fb-c2499a531de5,29,,"[37.1, 14.6]",3773386,0,,,,,1.2403123,,Right Foot,,,,"[41.8, 28.3]",Ground Pass,,14.483784,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['16035528-aba8-45bc-9809-e4d073cfc80d', '3541f8e5-8806-42ef-b54b-66651d41d01e']",25,,,,,,,,,,,,,,,,,,Barcelona,217,25,Pass,True,1,14.483784035948617,1H
,,,,,,,,,,,,,,,,,1.824233,,,,,,,,,,,,,7ddb69ce-12c3-48fa-a7e5-a2e1be0672eb,32,,"[42.4, 27.6]",3773386,0,,,,,1.7901208,,Left Foot,,,,"[35.2, 59.9]",Ground Pass,,33.092747,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['d4bb10c4-e102-4c5f-b9ca-e2b8fed19439'],27,,,,,,,,,,,,,,,,,,Barcelona,217,27,Pass,,1,33.09274845037806,1H
,,,,,,,,,,,,,,,,,1.26851,,,,,,,,,,,,,c3ab4afa-04ea-4d0d-ade8-5acc6966a37b,35,,"[36.1, 59.5]",3773386,0,,,,,-2.9323132,,Right Foot,,,,"[24.8, 57.1]",Ground Pass,,11.552056,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['07f16a24-8a15-435d-944e-547e5b1fe0c4', '274ec044-ea30-405f-8313-c7bd235afeda']",29,,,,,,,,,,,,,,,,,,Barcelona,217,29,Pass,True,1,11.552056094046636,1H
,,,,,,,,,,,,,,,,,1.014398,,,,,,,,,,,,,e3ba887e-0ebb-4f78-827a-e9cfcc0b6d7e,39,,"[26.2, 57.7]",3773386,0,,,,,0.014813731,,Right Foot,,,,"[53.2, 58.1]",Low Pass,,27.002962,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['90adbdb5-b711-42e0-b27b-c881101b404e', '93c49b7b-f8ec-4b38-805a-5d75ac73a05b']",31,,,,,,,,,,,,,,,,,,Barcelona,217,31,Pass,True,1,27.002962800403964,1H
,,,,,,,,,,,,,,,,,0.633992,,,,,,,,,,,,,cb60f0a4-73dd-4f9d-b316-c8956cced6dc,43,,"[49.1, 56.9]",3773386,0,,,,,-2.7233684,,Left Foot,,,,"[45.5, 55.3]",Ground Pass,,3.939543,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,2,Barcelona,217,"['2922d648-a673-4956-83bd-1c1fc4b36ec4', '9cd18f8d-5fce-482c-9109-9fc160227c3b']",34,,,,,,,,,,,,,,,,,,Barcelona,217,34,Pass,True,1,3.9395431207184437,1H
,,,,,,,,,,,,,,,,,1.138412,,,,,,,,,,,,,d2ca0426-caf4-4eed-996c-5cb1d0819ed9,47,,"[45.3, 55.8]",3773386,0,,,,,-1.359703,,Right Foot,,,,"[47.7, 44.6]",Ground Pass,,11.454257,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,"['639788a4-3efe-4986-b0af-3e2db6e21d65', '66a7ee12-2975-44c0-9973-f2c5d6c051fd']",36,,,,,,,,,,,,,,,,,,Barcelona,217,36,Pass,True,1,11.45425685062108,1H
,,,,,,,,,,,,,,,,,1.605584,,,,,,,,,,,,,95bdcdbc-2eee-406d-8bdd-64014ef3f851,50,,"[61.9, 34.5]",3773386,0,,,,,1.1206946,,Left Foot,,,,"[77.7, 67.2]",High Pass,,36.317078,,Incomplete,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,2,Barcelona,217,"['24410532-8641-4a5c-bf7d-5da1eb4a31b2', 'e3d8ed99-7ff2-4962-99bb-4ac922f2699c']",42,,,,,,,,,,,,,,,,,,Barcelona,217,42,Pass,,0,36.317075873478586,1H
,,,,,,,,,,,,,,,,,2.913991,,,,,,,,,,,,,e3d8ed99-7ff2-4962-99bb-4ac922f2699c,52,,"[42.4, 12.9]",3773386,0,,,,,0.8781107,,Left Foot,,,,"[66.3, 41.7]",High Pass,,37.42526,,,,Deyverson Brum Silva Acosta,25134.0,,,,,Recovery,1,From Kick Off,Rubén Duarte Sánchez,6612.0,Left Back,2,Barcelona,217,"['54e28785-6e8d-41aa-b09a-aeac1ac5e466', '95bdcdbc-2eee-406d-8bdd-64014ef3f851']",43,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,43,Pass,,1,37.42525885014024,1H
,,,,,,,,,,,,,,,,,4.437906,,,,,,,,,,,,,e6b6543e-f9cc-4a64-b907-059a48a3a835,56,,"[67.8, 41.9]",3773386,0,,,,,-0.7032787,,Left Foot,,,,"[94.1, 19.6]",High Pass,,34.48159,,Incomplete,,José Ignacio Peleteiro Ramallo,9462.0,,,,,,1,From Kick Off,Deyverson Brum Silva Acosta,25134.0,Center Forward,2,Barcelona,217,"['22e16a43-4811-4f7a-9c03-1ae95c325fd2', '2f80545f-efd0-4770-a54b-7e5f38efcefb', 'f684009a-537d-4b44-a59f-12464d12ac49']",47,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,47,Pass,True,0,34.48158929051849,1H
,,,,,,,,,,,,,,,,,1.356781,,,,,,,,,,,,,278a9a05-6069-460c-a3da-c411a40e3dde,61,,"[22.2, 77.4]",3773386,0,,,,,-0.81241864,,Right Foot,,,,"[34.8, 64.1]",Ground Pass,,18.320753,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['33e63304-373d-4b2a-ba81-aa5b1dc0e6ec', 'c2d2022c-68dc-4d54-9922-a214c5057652']",53,,,,,,,,,,,,,,,,,,Barcelona,217,53,Pass,True,1,18.320753259623366,1H
,,,,,,,,,,,,,,,,,1.054085,,,,,,,,,,,,,d25df47f-d82f-4ea3-b090-97f2a99a3cb3,64,,"[35.7, 65.8]",3773386,0,,,,,-0.4999353,,Right Foot,,,,"[47.6, 59.3]",Ground Pass,,13.559499,,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['05c7ffb9-4284-4593-8711-5bff3fd57a6d'],55,,,,,,,,,,,,,,,,,,Barcelona,217,55,Pass,,1,13.559498515800648,1H
,,,,,,,,,,,,,,,,,2.221364,,,,,,,,,,,,,f511a3b2-036c-4e6f-8ac2-0cf0ccc8698b,66,,"[47.6, 59.3]",3773386,0,,,,,-1.8311939,,Left Foot,,,,"[39.5, 28.9]",Ground Pass,,31.46061,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['bd266a13-92b3-401c-bde6-b5ee58968276'],56,,,,,,,,,,,,,,,,,,Barcelona,217,56,Pass,,1,31.460610292872577,1H
,,,,,,,,,,,,,,,,,1.503826,,,,,,,,,,,,,589ed698-a80c-4e30-954e-7b4445803259,70,,"[39.7, 28.9]",3773386,0,,,,,2.2673204,,Left Foot,,,,"[35.1, 34.4]",Ground Pass,,7.170077,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['2f9be055-fa91-4bec-88e7-6f46c1a07c3d', '34c55e2c-481d-455f-b631-68e37ce876e3']",58,,,,,,,,,,,,,,,,,,Barcelona,217,58,Pass,True,1,7.1700767080973415,1H
,,,,,,,,,,,,,,,,,0.35556,,,,,,,,,,,,,7c09b2a2-df84-4f44-8c90-d77567c17fe2,73,,"[35.1, 33.5]",3773386,1,,,,,-0.14756808,,Right Foot,,,,"[42.5, 32.4]",Ground Pass,,7.48131,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,"['479eb83d-af56-492e-ac21-134b7725202c', 'f40dee30-5207-4693-baf3-188d399a4e5b']",0,,,,,,,,,,,,,,,,,,Barcelona,217,60,Pass,True,1,7.481310045707234,1H
,,,,,,,,,,,,,,,,,2.040951,,,,,,,,,,,,,7dd8d1a7-9592-4d7e-9f1f-7bd56a18ba5f,75,,"[42.5, 32.0]",3773386,1,,,,,-2.5482426,,Right Foot,,,,"[29.6, 23.3]",Ground Pass,,15.559563,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['33b7d01b-3ce3-468a-b379-204e02113deb'],0,,,,,,,,,,,,,,,,,,Barcelona,217,60,Pass,,1,15.559562975867927,1H
,,,,,,,,,,,,,,,,,0.756634,,,,,,,,,,,,,c78f84c9-30d9-4661-8143-efc77e4fec6c,78,,"[29.2, 23.4]",3773386,1,,,,,0.5971767,,Left Foot,,,,"[34.2, 26.8]",Ground Pass,,6.0464864,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['05c9d792-af95-4f84-bdf1-75d8cf29531d'],3,,,,,,,,,,,,,,,,,,Barcelona,217,63,Pass,,1,6.046486583132394,1H
,,,,,,,,,,,,,,,,,1.402129,,,,,,,,,,,,,6b32758b-8696-4f41-a0e5-e8328427d904,81,,"[49.8, 24.8]",3773386,1,,,,,-0.924124,,Right Foot,,,,"[61.2, 9.7]",Ground Pass,,18.920095,,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,['8114eed8-94a3-4ef3-924e-63f3b726ee95'],7,,,,,,,,,,,,,,,,,,Barcelona,217,67,Pass,,1,18.92009513718153,1H
,,,,,,,,,,,,,,,,,0.964685,,,,,,,,,,,,,406c0778-a341-45ed-be56-e7552032cb8c,84,,"[70.0, 8.8]",3773386,1,,,,,-0.31771833,,Left Foot,,,,"[84.9, 3.9]",Ground Pass,,15.685024,,,,Anssumane Fati,30756.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['36cce6d4-ba62-4029-aba9-4d3001f30255'],9,,,,,,,,,,,,,,,,,,Barcelona,217,69,Pass,,1,15.685024705112841,1H
,,,,,,,,,,,,,,,,,1.163397,,,,,,,,,,,,,4e35f9fd-826d-4612-b693-00abafa73c6b,87,,"[85.7, 4.8]",3773386,1,,,,,2.407941,,Right Foot,,,,"[72.5, 16.7]",Ground Pass,,17.77217,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Anssumane Fati,30756.0,Left Wing,2,Barcelona,217,['39754943-ca70-496e-99d9-50add677ff1c'],13,,,,,,,,,,,,,,,,,,Barcelona,217,73,Pass,,1,17.77216925420192,1H
